,Name,Place,Number of Review(s),Date,Stars,Title,Review
10,Leanne T,GB,2 reviews,"Monday, February 28, 2022, 08:38:56 PM",1,Ridiculous refund policy,"I had a weekend away booked which I had paid £200 for. I had to cancel this due to unfortunate circumstances and provided 3 months notice. The refund policy is absolutely ridiculous. I was unable to get any refund back, even though I cancelled in plenty of time and they have probably been able to resell the slot! To move the dates it was going to cost an additional £200 and I already had £200 left to pay.Even through the resolution centre I was unable to get my money back.I will never use air bnb again."
11,Michelle Fitzgerald-Baird,GB,2 reviews,"Monday, February 28, 2022, 07:06:55 PM",1,Booked a chalet in Moleson Sur…,"Booked a chalet in Moleson Sur Gruyeres, Switzerland for our ski trip through airbnb. We had been confirmed through both our airline company & the Swiss embassy that we were good to travel to Switzerland then found out 2 days prior to our trip that this in fact was not the case due to changing covid regulation policies for entry requirements. We then contacted the host who didn't bother to reply so we contacted airbnb who didn't reply for 2 days. We lost all our money & even when we asked could we move our trip forward then 3 weeks to a date when the accommodation was free again (which was £900 less but we were willing to take the hit of the £900 regardless), they wouldn't oblige. Terrible company. Daylight robbery. We've been lied to on 3 separate occasions regarding the entry requirements, had our 4 year old built up looking forward to her first ever ski holiday only to be let down and now to top it off we've had almost £2,000 taken for accommodation we couldn't use & the host wouldn't even oblige to try & help accommodate in any way, shape or form. Will never, ever deal with this company again."
12,Sarah,GB,1 review,"Monday, February 28, 2022, 05:36:37 PM",1,Awful,Booked a place far in advance to get a cheap cost and then months later the host cancelled unexpectedly. Well we've paid for flights and made plans now so we booked another place for almost twice the amount and once it was confirmed the host messaged us with extra off the books charges. Airbnb say that this is the host's right to do this and won't refund us. It's literally a scam! Honestly stay far far away from Airbnb just book a hotel the normal way!
13,Darius Sakalauskas,GB,1 review,"Monday, February 28, 2022, 12:45:01 PM",1,Awful dealing with stressful situation,"We had a really nightmare experience with airbnb apartment just a day before our wedding day. After the initial check-in, they key was left in the place it was found (as there was more people staying together, and we could not exchange the key directly), and later when we arrived, we found out that there was another guy in the apartment, all drunk, vomited all over the place and on himself. As you can understand, there was a lot of stress as it was just a day before our wedding. We asked the police and ambulance to come, and eventually found out that the guy was living next door and mixed up the keys. We accept that hovewer weird, this situation can happen. We were most angry on how the apartment manager and airbnb acted: apartment manager, who most probably rented the place to this other guy as well (we were not sure about the actual situation), did not even apologize for the situation as we had to deal with everything. She offered to cancel the reservartion (that would only return small portion of the amount we paid). So we called the airbnb - naturally they said that they will investigate the situation. During their investigation the reservation was cancelled by the apartment manager (perhaps with the ask of airbnb) so at least they returned what we paid, and what was the most ridiculous - offered 10% on top, even though we had to endure so much stress, deal with police, rebook another place for a much higher price. Well we are happy that we did so as airbnb experience was horrible. Seeing all other comment and reviews, really thinking of never using it again. Other platforms sure would have dealt with this situation much better. Everything happend in Vilnius, Lithuania on the 11th of February."
14,Airbnb Never again,GB,1 review,"Sunday, February 27, 2022, 02:06:23 PM",1,Airbnb totally mucked up an apartment…,"Airbnb totally mucked up an apartment booking leaving my family stranded in the streets of London, they agreed to pay compensation in writing, and on the phone a month ago, but it has never been paid, all I get is excuses why the payment is delayed due to technical reasons"
15,Carla A,US,1 review,"Saturday, February 26, 2022, 08:02:28 PM",1,Be careful: May be left high and dry in a pinch,"We have had several smooth situations with airbnb, but we definitely learned after our last experience, that we will be left high and dry if things don't go right and we need help.We found ourselves in airports for two days and a night with our kids, and when learning all hotels were full in the middle of it, decided to try airbnb. After paying for a rental car by phone from our gate, we booked the only home we could find available on airbnb, and made our way across the airport and outside to the car rentals. The host communication was above and beyond the entire time we were updating her on our circumstances and making our decision to stay, and bent several policies for us in order to allow us to book in the middle of the night. Upon getting to the car rental counter, however, we were told that because of all the canceled flights and weather, every company had NO cars available - including ours - no buses were running that time of night, and uber was going to charge $400.Less than an hour after we pressed ""book"" on the app, I let our host know that we were unable to get to the property and had to cancel. However - somehow now that they had the $700 that we paid to use the house for 10 hours, no policy bending happened!I would have hoped that by getting airbnb involved, airbnb would act as a middle man to help us work with the homeowner and advise each side in order to come to an agreeable compromise. But the message was - too bad. The homeowner doesn't want to give you your money back.So we slept on the cold airport floor with our kids that night, and the house cleaners had a real easy day the next morning at the house we paid for with their $300 cleaning fee.Each time as an airbnb guest we always go above and beyond with our communication and our care of the properties we rent. It's disappointing that airbnb wasn't there to help us when we faced a really big problem as we encountered several obstacles during this event, including the entire month after getting home that we spent communicating around it. The added financial strain of the $700 to our trip because of the issue with airbnb was a big one, and we are definitely highly disappointed with the outcome. After this experience, we won't be as trusting of the goodwill of homeowners toward their guests, or of airbnb's ability to step in and help when it comes to gray areas that aren't covered by general policy, where it seems guests are only being treated as commodities rather than human beings."
16,Mauro Provato,GR,3 reviews,"Saturday, February 26, 2022, 04:00:58 PM",1,Booking site that encourages scammers,"We had an incident with an Airbnb customer in one of our luxury villas where during their stay he insulted the manager, the owner and the cleaning lady because the cleaning lady accidentally entered the villa to clean without his consent.  For the same reason, he also hit the cleaning lady.  Airbnb not only did not support us on this issue when we mentioned it to them but also took the customer's side. In addition, we noticed that the information he showed us on the first day of his arrival was not true. We removed our listings and accounts from Airbnb after this incident and will never work with this company again."
17,kingston Hollins,US,1 review,"Friday, February 25, 2022, 07:44:58 PM",1,This is my 3rd experience with Airbnb,This is my 3rd experience with Airbnb! This last one has been the worse experience I have ever had. I will definitely be deleting this app and not using again.
18,Jenna H,US,3 reviews,"Friday, February 25, 2022, 07:43:59 AM",1,Biased and discriminatory,"Yet another company that cares more about what a person looks like in paper than in real life. They’d rather offer services to a recent violent misdemeanor offender than a non-violent felon that’s been living a law-abiding lifestyle for years. Companies that discriminate against a person’s past are not encouraging to the continuation of a law abiding life, but traps those in a cycle with no other option."
19,Amanda Kayne,CH,1 review,"Thursday, February 24, 2022, 07:42:25 PM",1,So sad!!,So sad!!! Airbnb used to be so great. It is rapidly going downhill and will not survive much longer. The support hosts used to receive is sadly non existent now
20,So Cal,US,1 review,"Thursday, February 24, 2022, 05:06:29 PM",1,Airbnb altered my public review,"I left a truthful review for a very bad property that was dirty and was in a dangerous neighborhood . Only one line of my review was publish for the public viewing, the rest of my review was put into personal. They said I must have done that. I entered one review. Not 2, I didn't write one for personal and one for public. They are telling me they don't edit people's reviews they only remove reviews that don't follow guidelines. They did edit/altered mine and say nothing can be done now that 15 days are up."
21,Karen ,US,3 reviews,"Wednesday, February 23, 2022, 11:34:42 PM",2,As many have reported Airbnb may be a…,"As many have reported Airbnb may be a great concept and lucrative for the Hosts but the business has many flaws & unfortunately, I've had a bad experience that I won't be repeating. The hosts are not professionals so if your rental is not up to your standards, since the platform offers none, you are screwed. They will not help you and telling your host only results in a worse stay if your stuck. Then since you complained, the host will trash you with a review. terrible customer support, had to escalate to Presidents office for help and online chat takes hours to get a reply. Not a fan and will avoid in the future. You have more recourse hotels."
22,Matthew's Tully,US,1 review,"Wednesday, February 23, 2022, 07:07:39 AM",1,I Won't Go Back Again..,"Before You Rent a Air-BnB.Go to 'Better Business Burea Reviews!' AT BBB, AirB&B Gets the Average of Seventeen Point . Four Five (17.45 Every Day) Ba Ba Ba Bab Reviews. The Firm Is Like So Many Large Corporations in The United States and Most Civilized Nations.They (B&B) Lie To The Customers via fake reviews on there own site, Taking Out The Reality That The Customer Never Sees... Why You Ask, To Hide The Profit Margin From Them Along With Their Net Profit. It you feel it can't be that bad???Good Luck!After it takes place, when you get so frustrated due to what you have been through, after you are read scripted reply by an individual who tells you his or her name is Bob or Mary. They speak with heavy Non American Accents and treat you as it you did  something wrong...  speaking to the customer like used cars salesmen....   All Brainless & Bullsh***** Good Luck On The Way Out The Door!PS- Please Excuse The Asterix Expression !@@! You Can't See The Depth of My Aggravation."
23,John Sheehan,GB,13 reviews,"Tuesday, February 22, 2022, 10:02:36 PM",1,Avoid Airbnb at all costs,"Airbnb continue to ignore my requests for my Subject Access Request. They have even stopped asking for information they already have. The staff at Airbnb all the way up to their CEO are the most ignorant on the planet. They ignore the truth and every question asked of them. Rest assured, the only way to avoid problems is to NOT deal with them. Avoid them at all costs."
24,Holly,GB,2 reviews,"Tuesday, February 22, 2022, 07:08:32 PM",1,Host and airbnb keep cancelling every…,Host and airbnb keep cancelling every reservation i make aswell as holding the money I paid up front for 15 days .
25,C Christian,GB,2 reviews,"Tuesday, February 22, 2022, 02:18:00 PM",1,Will never use Airbnb again,I used the service for the first time in February when it was quite cold outside. The host will leave the heat off during the day and the place was quite cold upon my return in the evening. I left and notified Airbnb within their 24h policy but did not get the rest of my stay refunded - being cold it was not a reason for Jojen - the customer support person to actually look into this.
26,CJ,US,1 review,"Monday, February 21, 2022, 09:15:14 PM",1,Multiple policy violations,"I am very concerned about Airbnb policies and how they suppressed our friend’s review of our recent stay on January 12-14, 2022. Property /52091039This listing violated many of your Airbnb policies; yet Airbnb has allowed this listing to remain falsely advertised without true and accurate reviews. 1.  I had to boil hot water in the stove two nights in a row to take a “bird bath “ because the owner neglected to send someone out to fix the hot water heater as promised. Additionally, it was a hazard for us to even try to light a pilot and attempt  figure out fixing the hot water heater to have a shower and clean properly, which leads me to my next point - enhanced Covid cleaning  protocol 2. Airbnb’s 5-step enhanced cleaning process was violated. There is no way the host could have the home properly cleaned, sanitized, and prepared between guests WITHOUT hot water. ( we screenshot a review that was up after our stay that also said there was no hot water)3. The bathrooms were not clean and the linen was and towels were old and disgusting 4. Airbnb allowed the host to bully our friends and accuse them of extortion, which is far from the truth. 5. False listing -This listing is advertised as a 3 bedroom 3 bath home. This is a 1 bedroom apartment condo downstairs and a 2 bedroom/2 bath apartment upstairs. This is not one home for a large group, but two apartments. I am very appalled at how Airbnb resolved this issue and we plan on seeking legal advice because your policy requires homes to have hot water and clean due to Covid. Additionally,  Airbnb is suppressing reviews because it wasn’t submitted because we were traveling and to get out of the dump Airbnb is allowing to be advertised and allowing host to falsely advertise and violate multiple policies. Additionally I called Airbnb with the issue on 1/13/22; however, my friend  wanted to handle it it with the host as Airbnb prefers so I hung up, which backfired. Airbnb policies don’t really protect guests. Please investigate this issue and hold your hosts accountable."
27,Lynda Lastinger,US,1 review,"Monday, February 21, 2022, 04:30:29 PM",1,If I could give airbnb a minus star I would,"If I could give airbnb a minus star I would. We made reservations 9 months in advance for a trip to Maine. The area we were to stay in is somewhat remote and reservations are difficult to come by. 6 days prior to our trip at 1:00am in the morning I get a notification that our reservations have been cancelled and we have been given a refund. No other explanation. I immediately called and was put on hold for over 1 hours and finally gave up at 2:30am. Called the next day and was told ""yes we see there is a problem but I cant take care of it. Some one will call you back shortly"". 6 hours later no one has called so I call again. I am told "" yes we see there is a problem and they are working on it. I will put you on a priority list and someone will call you shortly"". This is now two days later and I have yet to hear from anyone. What we have been able to gather is that I had two accounts with airbnb. They shared the same phone number but different email addresses. I was unaware of the two different accounts. I know know that one was very old and the email address associated with it was from 10 years previous. Airbnb can not merge a old account with a new account. So the system I guess was confused so It just cancelled out reservation. I can understand technical issues but the lack of communication and customer service is unacceptable. I will never use airbnb again. We were able to secure reservation through vbro thankfully and they will get my business from now on. Any one reading this I would encourage you to do the same. Do not support airbnb with your hard earned money."
28,James,GB,1 review,"Monday, February 21, 2022, 02:15:45 PM",1,AirBNB customer service is terrible,"AirBNB customer service is terrible. Booked a place in London, ‘superhost’ put me in a studio instead of 2 bed. Refunded a paltry amount and said they would offer a free nights stay at another time to ensure a good review. They then ignored me after the stay and Airbnb support have said they can’t do anything. M"
29,Alex,GB,20 reviews,"Sunday, February 20, 2022, 04:28:48 AM",1,Airbnb + Sextant Apartments = Travel Scam. READ BEFORE YOU BOOK!,"1. Listing is fake. This is not the flat that you’ll get. In the photos they show a large, bright and airy flat with a table and 4 chairs. In reality, you’ll get a small, dark and crammed bunker with a bar-like table and 2 high chairs (not for kids). They do state in their terms and conditions that they may accomodate you in a similar flat and not the one in the photos, but they are abusing the term similar. This flat is nothing similar to the one in the photos. I don’t understand why Airbnb allows this travel scam and why they don’t check the accuracy of the listings, but I have taken steps to take Airbnb to the small claims court and recover my money. I’m pretty sure this is illegal in the EU.2. In the photos, you’ll see a bright flat with large windows. The real apartment has 2 small windows at the back of the building where you can only see the concrete fence and nearby building. You can’t even open the shades.3. They claim to clean to CDC standards and that their cleaning staff does such an amazing job. This one’s the best :)) The flat was filthy when we checked in and had to call them to send somebody to clean. They only came the next day and somehow managed to do a very poor job. When we came back to the room, the floor was not as dirty as before but still dusty, and they did not vacuum the carpet. We had to roll the carpet and put away because we were traveling with our 1-year old and he was crawling through the dust. Unhealthy, unsanitary and filthy, these are Sextant’s understanding of the CDC standards. Then we decided to clean ourselves and used the vacuum cleaner from the cleaning staff. This was an old, run-down $50 vacuum cleaner that was barely pulling any dust and that’s why the cleaning ladies did a poor job.4. You won’t be able to sleep due to the outside lights. They have 2 exterior lights, right outside the bedroom window. These are very strong and lighten up the entire room during the night. If you are a Navy Seal and can sleep in any conditions you’ll be good. If you’re like the rest of us, this is torture. You will literally sleep with the lights on as if it was daylight. I have attached photos of the bedroom5. The washing machine is not working. They claim to have a washer but that’s not working. I asked them to repair it and every time they say they are sorry and that they understand me and they forwarded my request to the responsible team. Somebody came in to repair it while we were away, and they started the washer with our clothes inside. They haven’t finished, probably due to the washer being completely broken, and left the clothes inside without telling us. After 2 days, we found our clothes were all wet and moldy. We’ve signaled this and got the same answer, nobody repaired the washer and nobody cared that we didn’t have any clothes for our baby that day.6. The apartment is incredibly noisy. Even though the flat is at the back of the building and not on the main street, we could literally hear all the cars passing on the main street. I don't even understand how this is possible. We could even tell which one is a small car, which one's a truck, and which one's a bus. I dread to think of the noise that can be heard from the flats directly positioned on the main street. The funniest of things, you'll even hear planes landing in Miami. And if that's not enough, the building right next to the flat uses a generator that makes a very annoying noise throughout the night.7. Sextant's apartment has ants and roaches. To be honest, that's not even a big deal compared to all others, but definitely worth mentioning.To summarize, in Sextant's apartments, you'll feel like sleeping on the street with ants and roaches and with the lights on. So good luck sleeping in these conditions. I will never book through Airbnb again. With their competitors, at least you see exactly what you’re renting."
30,Bonnie Course,GB,2 reviews,"Saturday, February 19, 2022, 11:47:03 PM",1,My friend and I booked a very highly…,"My friend and I booked a very highly rated Airbnb (a 'superhost') by the sea. The host texted us fairly early in the evening and seemed anxious about our check-in time. We agreed to arrive by 9.30pm and the host apologised for being a bit overzealous in their first message (it had had a certain tone!) and wished us a good evening. We arrived on time at the host's house by taxi - the taxi driver actually knew the place and the lady hosting, when we confirmed her name, so we knew it was the right place.We rang the bell.No-one answered.We knocked the door.No-one answered.We texted the host. She told us she was with her mother. who was end of life, and that her husband was there to let us in.We rang again, we knocked again - and again and again. We saw lights that were on go off upstairs. We wondered if this lady's husband might not be up for hosting this evening. We waited over half an hour, repeatedly ringing the bell and knocking. We were concerned the neighbours might come out about the noise. We texted the host again but we didn't get any reply. It was raining the whole time.When it was gone 10pm, we thought - grief, let's go back to the seafront and get a hotel. We tried to call a cab. None were available. This was one of the early weekends out of Covid when everyone had rushed to the coast. We were literally stranded in the rain. We started to walk back to the seafront, which was a 40 minute walk. About 15 minutes' down the road, we saw the golden arches - a 24 hour McDonalds. We thought it would be wiser to stop here and call up hotels rather than walk in the rain. We called all the hotels along the sea front. We explained the situation over and over again. No vacancies, anywhere. We tried neighbouring towns all around - nothing.We finally thought to contact Airbnb, after all, we had paid in full for our booking and hadn't been let in. We were only able to submit something via an online form.Now, we had a pretty crappy night under the strip lighting and with the constant dance music playing. We saw the clubbers come and go around 4am. The second day of our trip, we decided, was a write-off. What would we do about our train tickets? We'd bought the cheaper fixed-time return.Airbnb called us in the morning. The guy offered to refund out £11 taxi we'd taken to the host's house. They refunded our booking. Did we get compensation? Nope. Did we get to leave a review? No, because we hadn't stayed with the host.And then hours at the train station waiting a friendly train driver to let us go home on an earlier train....!"
31,Kostya Tkachenko,UA,1 review,"Saturday, February 19, 2022, 04:11:20 PM",1,Support is scamming people,"Support is scamming people into paying service fee, that's all they care about. Wouldn't recommend anyone to use this service."
32,Donald Jay,US,7 reviews,"Saturday, February 19, 2022, 02:45:55 PM",1,Cancel culture orientated,Cancel culture orientated.   Don’t do as they say you are removed.  Any conservative should avoid this site.    Cancel culture orientated.    I had 13 houses.  Don’t put your finances in only this companies hand.   If you disagree you will be deemed something your not!    Cancelled !!!
33,Byron Jackson,US,15 reviews,"Saturday, February 19, 2022, 12:30:24 PM",1,Community destroyers.,"I live on a common driveway almost 1 mile long the county does NOT keep it up, I do and have for 21 years. I have to borrow a tractor from a friend to work with. These people bought some land on our driveway and brought some heavy equipment in to grade their land. They totally destroyed our driveway and left it for me to fix. It was destroyed so bad I worked on it for 2 days and finally got it patched up so we can get in and out to go places. The tractor is not big enough to fix the mess they left. The man that brought in the equipment told my wife and me he would fix it then wished us a MERRY CHRISTMAS next he loaded up his equipment and left. He did NOT fix anything. I sent airbnb an email about the mess they left. IT LANDED ON DEAF EARS AND EYES. The folks at airbnb only want to make money they do NOT care about the community around them. I'm a 66 year old disabled veteran and I just got out of the hospital only to come home to THEIR MESS. My next move is to speak to an attorney. This driveway is in Ellijay Ga. and is called Sumac, Ln. BEWARE of the people in your neighborhood they destroy you community.🐣"
34,Susan Wilson,GB,1 review,"Friday, February 18, 2022, 06:07:18 PM",1,Shameful way to treat people,"I booked to stay in what I thought was twin room at £300 for a three night stay for two people.When I arrived the twin room turned into being bunk beds, with a small sink, no where to hang clothes and not enough room to swing a cat let alone move around. We complained straight away and was directed to AIRBNB where we explained the situation and they would go back to the host. However, we spoke to the host and after a 3 hour delay of our holiday agreed that we would stay there that night at £20 and she would refund the balance.Where we were also, there was absolutely no hotels free of any rooms so we had to spend more time looking for somewhere to stay.I am still waiting.I have the proof in my AIRBNB account what was agreed and AIRBNB asked for my log in so they could review the messages. One clearly stating a refund would be made.I have contacted AIRBNB three times now and they offer no assistance at all, it's a complete disgrace and in the eyes of the law with confirmation of a refund why they will not act on it.It's now 8 months and my temper and patience is getting less and less and am tempted to go legal.I don't know why they get away with this treatment seeing as the host is not paid until 30 days after the booking incase of cancellation. I booked with AIRBNB so I expect a refund from them."
35,S,GB,3 reviews,"Friday, February 18, 2022, 10:41:55 AM",1,AIRB&B STRICT REFUND POLICY UNBELIEVABLE,"DO NOT USE AIRB&B before reading their strict refund policy.  I have just lost my £2200 deposit  because AirB&B's strict refund policy is based on the total cost of the holiday not what you have actually paid.  Even with 3 months notice and covid causing issues, you get no refund, unlike BA and Hertz who refunded us immediately.  The host is also entitled to keep your money even if your weeks are rebooked, they are under no obligation to refund although some  decent hosts will.  Unless you can afford to lose any money you have paid, or are absolutely certain you won't need to cancel, find another company.  AirB&B aren't interested once they have your money."
36,Jaimie,US,1 review,"Thursday, February 17, 2022, 11:03:29 PM",1,Horrible Experience,"A host in Shawnee, CO who has a unit in the basement of her home made false claims in hopes to get money. I planned this trip for a friend's birthday but was unable to attend due to an illness. The trip was 1.22.22-1.23.22. The birthday girl and her boyfriend ended up going alone. The host waited to the very end of the 14 day time period to review the guests and claimed they did not follow the check out procedure. When I asked her what happened she claimed the unit was left with 3 bags of trash-all around the unit, sink full of dishes that weren't done, the chlorine floater to the hot tub was thrown into the dirt, the cap to the water feature was broken and the water feature was left on which ruined the jets to the reclining seat in the hot tub and that she was going to have to get it serviced and would be making a claim to Airbnb. When I spoke to my friend she mentioned she and her boyfriend never used the hot tub, never used dishes, and had maybe 1-3 pieces of trash in the trash cans. The host later said she would be happy to send me the text thread between her and her cleaning woman. The text thread stated the couch was stained, the curtain rod was bent, 3 bags of trash, dirty dishes, a bunch of stuff left in the shower, a blanket was missing, and there was grease down the drain. None of this was matching to her earlier claims. The shower in the unit also didn't have a shower rod. When I mentioned this and asked for a time stamp of the text thread she said she wasn't savvy with her phone. I continued to explain the steps on how to take a screenshot, just as she did with the text thread she sent. She then proceeded to tell me she would be happy to make sure she had the correct guests. I had to follow up the next day because she sent nothing after I confirmed I would like her to check her records and make sure. I was so surprised that she hadn't already checked on this important bit of information. After all the back and forth and speaking to Airbnb customer service, she admitted she had the wrong guests and that it was the people that stayed after who trashed her place. I was no longer able to review this host because it was at the end of the 14 day period. I also responded to the host's review before I knew of all the false claims she was making. I proceeded to contact Airbnb to get assistance with my review and asked if I could edit it or leave one myself. I explained this host was in my experience trying to scam us for money and I wanted to make sure she did not do it to anyone else and to make other guests aware. I was told I could no longer edit my response to her review nor leave a review myself. I asked to be transferred to a supervisor to discuss this as well as report this host but was told there was no capability to transfer and that a supervisor would be in touch. I called again the next day and was told it would take 24-48 hours. I emailed back and forth after that with several techs but never got to speak to a supervisor. I then got a message from the supervisor on 2.11.22 telling me I could write a response to the review that the host left. I emailed back and explained I had already done so before I knew what the host was trying to pull and that what I wanted to do was report this host and that I would appreciate a call back from her or her supervisor. On 2.12.22 she messaged and told me her tools were not working but that she would call back on Tuesday 2.15.22.Today is 2.17.22 and I have not heard back. I messaged her again today asking for a call back as this was important and what the host in Shawnee, CO is doing is not acceptable. The fact that in 2022 there is no way to be transferred to a supervisor nor to edit a review or leave a review after 14 days is beyond me. Airbnb's customer service  is horrible and no one is willing to do what's right to help and if they claim they do want to help you, make sure you have several months or longer to get assistance. Hopefully I can get the assistance I need to report this host and ensure it is not happening to other guests."
37,Claire Lewis,GB,2 reviews,"Wednesday, February 16, 2022, 10:34:23 PM",1,If I could leave less than 1 star I…,"If I could leave less than 1 star I would. They are completely useless and have no power whatsoever to help, protect or support you with any issues.  We had an issue and were passed from person to person who constantly batted us back to the “host” of our booking whilst repeating non-helpful phrases which they’ve just been trained to say. No one seems to know what’s going on, including the host OR the people who work for air bnb. Ridiculous company and wouldn’t go near them again."
38,Mary Whitfield,GB,6 reviews,"Wednesday, February 16, 2022, 10:09:34 AM",1,Would never use Airbnb again.,"Was using airbnb for the first time to book a self catering in Scotland, I live in Scotland and I am Scottish, but they said they could not prove my identity with the checks, really, I have lived in the same house for over 50 years,so, they wanted passport or another government issued photograph,so as it is in my opinion rather stupid to give strangers these details my reservation did not go through. What I dont understand is why they  need to take your money from card while they are waiting to see if you give them your personal information then refund days later suppose a nice little earner for them when interest rates are good."
