,Cleaned Data
30,friend book highly rat superhost sea host texted us fairly early evening seem anxious check time agree arrive 9 30pm host apologise bit overzealous first message certain tone wish us good even arrived time host house taxi taxi driver actually know place lady host confirm name know right place rang bell one answer knock door one answer texted host tell us mother end life husband let us ring knock saw light go upstairs wonder lady husband might host even wait half hour repeatedly ring bell knock concern neighbour might come noise texted host get reply rain whole time go 10pm thought grief let go back seafront get hotel try call cab none available one early weekend covid everyone rush coast literally strand rain start walk back seafront 40 minute walk 15 minute road saw golden arch 24 hour mcdonalds think would wiser stop call hotel rather walk rain called hotel along sea front explain situation vacancy anywhere try neighbouring town around nothing finally think contact pay full booking let able submit something via online form pretty crappy night strip light constant dance music playing saw clubbers come go around 4am second day trip decide write would train ticket buy cheap fixed time return call us morning guy offer refund 11 taxi take host house refund book get compensation nope get leave review stay host hour train station wait friendly train driver let us go home earlier train
31,support scamming people pay service fee care recommend anyone use service
32,cancel culture orientate say remove conservative avoid site cancel culture orientate 13 house put finance company hand disagree deem something cancel
33,live common driveway almost 1 mile long county keep 21 year borrow tractor friend work people buy land driveway bring heavy equipment grade land totally destroyed driveway leave fix destroyed bad work 2 day finally get patched get go place tractor big enough fix mess leave man bring equipment tell wife would fix wish us merry christmas next loaded equipment leave fix anything send email mess leave landed deaf ear eye folk want make money care community around 66 year old disabled veteran get hospital come home mess next move speak attorney driveway ellijay ga call sumac ln beware people neighborhood destroy community
34,book stay think twin room 300 three night stay two people arrive twin room turn bunk bed small sink hang clothes enough room swing cat let alone move around complained straight away direct explained situation would go back host however speak host 3 hour delay holiday agree would stay night 20 would refund balance also absolutely hotels free room spend time look somewhere stay still wait proof account agree ask log could review message one clearly state refund would make contact three time offer assistance complete disgrace eye law confirmation refund act 8 month temper patience get less less tempted go legal know get away treatment see host pay 30 day book incase cancellation book expect refund
35,use airb b read strict refund policy lose 2200 deposit airb b strict refund policy base total cost holiday actually pay even 3 month notice covid cause issue get refund unlike ba hertz refund us immediately host also entitle keep money even week rebooked obligation refund although decent host unless afford lose money pay absolutely certain need cancel find another company airb b interested money
36,host shawnee co unit basement home make false claim hop get money plan trip friend birthday unable attend due illness trip 1 22 22 1 23 22 birthday girl boyfriend end go alone host wait end 14 day time period review guest claim follow check procedure ask happen claimed unit leave 3 bag trash around unit sink full dish do chlorine floater hot tub throw dirt cap water feature broken water feature leave ruined jet recline seat hot tub go get service would make claim spoke friend mention boyfriend never use hot tub never use dish maybe 1 3 piece trash trash can host later say would happy send text thread clean woman text thread state couch stain curtain rod bent 3 bag trash dirty dish bunch stuff leave shower blanket miss grease drain none match early claim shower unit also shower rod mention ask time stamp text thread say savvy phone continue explain step take screenshot text thread send proceed tell would happy make sure correct guest follow next day send nothing confirmed would like check record make sure surprised already check important bit information back forth speak customer service admit wrong guest people stay trashed place longer able review host end 14 day period also respond host review know false claim make proceed contact get assistance review ask could edit leave one explain host experience try scam us money want make sure anyone else make guest aware tell could longer edit response review leave review ask transfer supervisor discus well report host tell capability transfer supervisor would touch call next day tell would take 24 48 hour email back forth several tech never get speak supervisor get message supervisor 2 11 22 telling could write response review host leave email back explained already do know host try pull want report host would appreciate call back supervisor 2 12 22 message told tool work would call back tuesday 2 15 22 today 2 17 22 heard back message today ask call back important host shawnee co acceptable fact 2022 way transfer supervisor edit review leave review 14 day beyond customer service horrible one willing right help claim want help make sure several month longer get assistance hopefully get assistance need report host ensure happen guest
37,could leave less 1 star would completely useless power whatsoever help protect support issue issue pass person person constantly bat us back host booking whilst repeat non helpful phrase train say one seem know go include host people work air bnb ridiculous company go near
38,use first time book self cater scotland live scotland scottish say could prove identity check really live house 50 year want passport another government issue photograph opinion rather stupid give stranger detail reservation go dont understand need take money card wait see give personal information refund day later suppose nice little earner interest rate good
39,appal experience try resolve problem account almost impossible contact eventually contact queued get pass person person last suggested solution end call tried solution work start
40,reserve 2 month ago charge credit card full amount fly location day suppose check message host ask check instruction host message back say long live state request remove list prior reservation date stick without place give run around 2 day ultimately make settle place lesser amenity stay hotel two day
41,staff phillipines speak english ask speak someone uk say discriminate say end call excuse end school lazy incompetent staff
42,take 4 week acknowledge issue host three week back forth confusion get refund advisor incompetent confuse even evidence present understand basic logic request 3 time speak manager receive call back promise supervisor manager available never use service read review shock company 80 negative review customer service clearly priority
43,review super host price issue one property show dramatic discount anyone rent 30 day set contact host customer service get fix work issue guest book entire month immediately message total rental price would approx 5x high since discount wrong guest subsequently cancel say would prefer affordable stay totally understand get call night host customer service check cancel reservation super host cancel guest lose status top like hawk add obsequious condescend tone india base c always apologize office original message send always call 7 pm night profuse excuse every time late call make want find c manager talk c rep believe guest cancel tool check even though system email prove cancellation guest argue convince cancel book would penalize plain unacceptable remember host cash cow absolutely right whatsoever
44,try book reservation south africa air bnb ask identity send various photo passport web cam without give concrete reason 15 hour reject meantime check identity without call confirmation already debit account wait 15 business day get money back check identity first place debit account obvious think unprofessional behaviour certainly way build potential customer relationship do
45,extortionate suspicious behaviour fund take bank account even though book completely unresponsive host one day book receive notification say host inactive booking elapse 7 day later money still return mean charge book reliable first place disappointing greedy behaviour consider alternative future avoid scammer possible
46,great alternative pay odds expensive hotel find 5 different property available trip tel aviv ask question owner 2 reply 3 say available date even though site say complete waste 3 day first last time use
47,bad platform ever desperately try book accommodation spend hour hour 4 day communicate customer service technical team waste 4 day time stay away find another way book accommodation
48,aibnb great way find house rent vacation political rent unacceptable refuse service political view explain reason use political bias stop
49,customer service really care something go wrong give empty platitude zero compensation interested real work service fee use 5 year first time escalate problem stay value add zero use experience really care
50,practically exist user face series property manager hang platform therefore accountability arrive flat london find heat hot water work pm altido unprofessional group people deal propose wife stay night property would reimburse cost day heat middle february never guy hotel back
51,think really crappie guy wait till two day trip cancel book reservation two week send vacation toilet top get money back ten day ticket saint thomas place stay even could find place money pay thanks lot ruin lifetime trip
52,would give less 1 star could book reservation valid date pay full credit card card charge receive reservation number several day later receive communication date available owner want use place time place close memorial service father law hold place available cancelation policy cancel 48 hour would receive 50 minus service fee cancel reservation without permission ask reimburse half much pay realize get cycle week satisfactory result also provide negative review downeast rental well make bad experienced something similar vrbo book place reason go pay half receive email vrbo say go site right away date would go go someone book date reservation
53,complain massive mess end result loose flat still reply guy live chat wait shift end reply say deal situation basically tell someone else help 2 day ago reply say office yesterday supervisor call honestly bad place ever use 1000 recommend use book com somewhere else
54,book cabin 4th june 2022 booking reject due date clash host offer duration day later 5th june unable unwilling change price go rebook price deposit rise significantly despite many call email chat slot book someone else even though host accept book money grab company regard customer never use check review business angry man
55,awful book place swansea 21 night place dirty tv work drain smell bad use bathroom half eaten food fridge disgusting contact host suggest air bnb wait 3 day per policy air bnb say late make complaint totally useless building also subject fire risk identify simple google search 21st floor fire escape plan real worry air bnb seem mind avoid use air bnb cost con
56,air bnb worst wont refund pay 35 day appartement find far away downtown car first time city mexico ask right away cancel 1 hour day check host say problem say problem host host tell cancel could rent people refund see rent people check list date never send money ask get money basically scam get money get nothing even ask partial refund nada way well service expedia book thats use touristic industry robber even tell would still happy credit use another time least get something money get absolutely nothing please avoid air bnb cost
57,crazy experience find 5 star host turn 5 star fake construction work 6 morning sleeping host tell quiet place try call solve problem crazy customer serice worst customer service year
58,get bad bad c outsource would care really anyway bla bla bla nothing do face issue discover host essential broken bed frame whilst host supportive c try sort help find soemthing else tell look write host wan na get involve really look like choice refund monies come straight away account course pay promise credit come day later mamaged change convince another host want take really guest come b take end great another issue come kick another endless talk cs team end resolution team high adviser able soemthing logical senseless talk c team cuz care much resolution advisor first contact really right level solve issue right level business support conversation handle rest simply nothing senseless sound harsh unfortunately literally try get though shift company likely pay lot mess end business wait see
59,even rate 1 reserve flat stay birthday ask photo id follow selfie require get notification say almost do review id around 1 30am get email say reservation void replied ask voided get reply say get selfie complete identity verification reservation email back response also try live chat turn completely useless say reserve within minute line half way date originally reserve meaning available need pass onto 3rd person live chat none seem understand host fault despite response nearly 24hours mine require fault end respond sure find well list even explain one affordable one budget honestly go someone else consider first time use definitely last oh mention wait reply live chat 10 minute reply shift end say pass onto another person sit wait 20 minute next useless person
60,member since 2016 guest host honestly say customer service year massive decline google complaint look review site see worth hassle use great platform sadly lack look forward try competitor move property another hosting site good luck look like go need
61,trust socalled host protection service scam 4 day stay guest clog toilet third day send guest explanation well plumber invoice state origin cause clog drain extent solve less 30 minute plumber basic charge apparently expect plumber write report might cause camera check exactly get standard phrasing careful review available information determine able proceed host damage protection reimbursement request time request receive follow documentation incident report plumber provide assessment origin cause extent damage
62,well good everything go smoothly host host cancel last minute air bnb helpful assist secure refund seem nothing stop set fake listing rob people money air bnb nothing avoid use competitor instead
63,dodgy coupon policy 380 coupon relate refund free money use morning book 99 accommodation simply drain allowance proceed transaction clear sign unfair funny enough clear warn try cancel reservation book make conclude design like frustrate feel scammed
64,happen support host guests host seven year time great support last week real problem guest need help twice speak two different support agent philippine say would call back never start send message app five day later get response give support help look maybe public company co founder lose interest customer support dreadful lose confidence move apartment list
65,rent first apartment via malaga benal beach would recommend freeze cold apartment heat pump must turn every two hour work via booster heat pump cover part apartment bathroom freeze cold kitchen area bedroom contact nothing help night wake icy cold run bathroom warm shower also cold fever week exactly top holiday
66,take responsibility booking nothing customer yes provide platform people book cheap accommodation far oversee transaction maintain customer satisfaction leave host host honest description property ie date pic circumstance change recompense give company nothing intervene dispute bad company
67,book pay place host respond text arrive country book hotel guideline say contact support let resolve book anything else slow take 24 hour answer support ticket contact soon checkin time take place realize amateur care customer hotel book spend night airport tomorrow refund money listing give 24 usd cupon discomfort think least later realize cupon active 15 next day mean two vacation 15 day worst book site market use book avoid mess people
68,everything host go smoothly great app however poor minimal support spend hour try communicate order get refund rental could get definitely use service future frustrate
69,never use service find situation need rent family remain winter month sell home prepare build ask host question around policy take upon cancel reservation leave husband 4 year old daughter two animal dead winter homeless disgust type behaviour allow repercussion make sure book ask question jeopardize reservation let slide townhouse sarnia ontario call nestle townhouse even best area city woman even make reference wish well search new place family receive full refund however pay 2870 one month sure type comment budget nothing question question regard policy cancel tell prior book indicate reservation cause great concern trap mislead host even agree policy
70,neighbour one super host categorically also supply proof corrupt organisation allow host break law westminster rent short term beyond 90 day without licence inform also antisocial behaviour noise go well beyond 11pm do nothing even proof noise abatement notice serve many time still nothing greedy unscrupulous landlord rent property care community reside within state landlord rent beyond 90 day westminster show proof plan permission ive tell host permission do nothing law break greedy company disgust
71,recently think try find place go pay tell send message host phone number reason mobile phone number enter app told try another number mobile phone number would try another number trip update app accept number first place stop book place stupid app accept number contact support app take forever respond thought cook dinner something take long told escalate ambassador ring ambassador well ring name mark e tell ring point ring 3 hour later tell something pas tech team joke meantime know tech team sort multi million pound company app problem say contact two people none do anything company play take leaf amazon customer support sort problem immediately time problem address probably lose book joke think use company first experience last
72,interest protect host greed favour guest even worst human could ever find
73,use regularly past experience positive change recently company charge book make cause huge amount grief although credit back money explain happen without authority ask one simple question error part ignore good business practice
74,air bnb great something go wrong careful accept term effectively fail protect customer unless report issue communication channel host stay air bnb air bed bed provide furthermore air bed hole get middle night inflate despite air bnb policy would give partial refund addition poor experience host allow give negative review simply ask refund perfectly valid reason stay hotel provide bed think would liable least partial refund due air bnb want help situation speak host person app refuse get involve even though photographic evidence stay go credit card company charge back refuse outrageous term unknowingly agree follow experience delete account
75,rent flat sky garden 6 month contract soon enter property shock saw landlord leave boxer sock clothes hang middle living room seal drawer bathroom put lock wardrobe fill every single space apartment stuff 5 luggage spread around apartment constantly walk fridge full expire food stinky mouldy dish washer picture video provide contacted landlord immediately raise issue say anything would much hassle later spoke let know want cancel reservation get refund rest booking say allow even want call make sure tell refund host discretion explain host advise please initiate cancellation order commence refund procedure accord regulation refuse issue refund raise issue refuse help say landlord one issue refund basically tell despite provide place unsuitable live especially long stay completely break rule decent living get away keep 2000 absurd cheap hotel provide good condition host suppose stay messy dirty place full luggage 6 month small amount money afford lose especially since happy stay 6 month ask space could manage everything else refuse suppose accept
76,horrible people cassey kick us bad guest drinking vodka tequila house guest nurse destroyed floor champagne everywhere take 15 different prescription mental problem refuse give us damage third one damage unit instead reprimand guest take pay dangerous guest also make clear black belt want sex un button pant three button stand look scar mind 3 month run stair enter bedroom could slam door shut think also drug drink refused drink sip drink fell unconscious get away everything right host
77,appal process identity verification
78,unfortunate task try book stay away book hotel task take 10 minute max 1 hour 500 error hoop people put book room total b last time use home use another company confirm reservation provide numerous code confirm email phone upload picture drive license home address lastly photo room mind use paypal security detail get life kid use ridiculous system
79,say take cancellation seriously may really disrupt guest plan state post auto review let potential guest know host cancel reservation allow leave review host cancel stay however case post auto review host cancel seasonal ski rental 2021 22 season start see auto review day ask support answer give case detail careful consideration determine case close understand might hop come outcome nothing anymore automatic review host mad hell fire back unacceptable think auto review ever go even week since reservation cancel would take stay least long reviews people read guest say stay interaction host also see canceled reservation possibly multiple time take auto review put possible host others cancel multiple time potential guest idea say protect community important certainly look like look like revenue host important concern rent post auto review potential guest may unaware host cancel reservation possibly multiple time often apply penalty say could apply host cancel host may aware little penalty cancelations real incentive think twice ruin plan might host cancel reservation believe case host likely learned people pay far list shortage available rental season
80,first experience highlight bad company clearly company care customer use platform guest lack vision sole money make process focus short term hurt customer clearly protect dubious host actively support fraudulent behavior company seem quite disorganized unprofessional regard support team decision totally lack require transparency frighten review manipulate guest access information need make educate choice rent property rio de janeiro base high score good review score 4 8 superhost location write confirmation host chat channel apartment quiet well complete opposite apartment noisy locate next hospital front key copacabana avenue extremely dense traffic property far description old poor shape quite dirty pandemic rule obviously respect appropriate cleanup do prior check new inform properly could tell later cancel within 24 hour check equip good noise cancel headset thought could manage high level noise 40 55 db inside due traffic noise well manage well anyway point twhen confront owner lie start extremely rude deny fact end clearly insulting write chat channel b tairbnb technically responsive raise ticket regard issue noise host behavior weak say unprofessional handle issue real support commitment apparently deal junior staff c tfinally write review review staff chat ensure would hurt policy claim follow point get confirmation review fine compliant policy publish host get mad insult review actually best part week review take obviously fallacious pretext hurting policy course absolutely mention compliant review rat experience mere 3 simply exposed noise issue explain people sensitive noise think twice rent tit also worth note property rat 4 8 rent sudden rat full 5 review get take serious bit worry clearly data manipulate fact base review take simple host request else host quite useful connection employee collusion worth note review get remove employee clear brazilian name vania sign point fraud e tthe 3 ticket raise get review put back online case investigate insult host remove failed produce tangible result immediate response case get necessary attention nothing anymore first 2 ticket 3rd ticket answer assertion review hurting policy course detail compliant bad joke bad company would strongly advise use service base experience cover pretty much aspect service offer company clearly bad experience regard hostel industry company highly unprofessional point scary price poor quality always high experience even cheap one positive side learn lot avoid cost future
81,bad experience always host side pay fee never customer side
82,book experience 8am 640am guide message say 720 cancel refund tell get 7 40 go round air b b 8 10 host say tell people 720 cancel show 8 00 use robot 30min find phone number air b b say always talk wrong department build case abusive even ask locate say racist policy tell every two second remind recorded keep call abusive get piss become abusive
83,policy best interest everyone careful
84,make booking confirmed happen check book find message host stating could fulfill book notification try contact establish go speak human wait someone ring back
85,use love unfortunate thing change year last year short notice cancellation sell place inconvenient book month advance family need specific space us last straw host give us wrong code could get response host run hotel room screenshot email everything still side host extra 160 night find ridiculous
86,apartment list nothing work apartment dirty fake photo top strange man enter code apartment get dress stole bluetooth speaker grocery apply refund compliant policy tell qualify refund would recieve full amount 1 month later recieved amount transfer eleven different people keep transfer someone else use
87,used private host several time last time guest break part kitchen help fix problem offer send people assess ask quote get offer 15 precent damage cost leave big bill try several time explain situation also write formal complaint every time get normal customer service grownups ask question shock host poorly cover case accident definitely recommend use private host
88,terrible experience gangster outfit book place 7 night sharm el sheick booking accept owner arrival city contact owner find check reply friend stay property night could go stay particular hotel suggest well judgement next morning find like hotel cancel rest book per contract pay cancellation fee owner like make extra cla cancelling decline request make false claim say break door property never check wow criminal outfit end employ host support false claim damage property even proof never enter would never consider use wow notice 80 percent bad review position would send anymore extortion email rather deal criminal host instead review might improve
89,30 trip lovely host fail us massively 3 book 3 night stay brighton marina new host review take host verification promise brian chesky ceo say thecompany making plan 100 percent verify end 2020 host listing review part process goal make sure host say photos information accurate location meet safety standard 6 nov 2019 rubbish arrive water unsafe electric broken furniture break 6 7 recommendation host rent boat fake name contravene marina term interested 5 month haggle still remuneration avoid trust public announcement
90,guest john gaston cancel book xmas new year beach house aquaview accord strict cancellation policy entitle 50 percent return refuse respond pay back money still wait pay another guest r25000 00 extremely poor service mark voges
91,speak host attempt host beyond awful well take c 1 5th income system beyond useless list property recognise address even input manually would default wrong one time respond message show property search least nowhere near actual address delete account without go id verification process give drive licence detail etc lock account even remove property want swipe fifth rent despite nothing glorify advertising portal bizarre seemingly successful attempt use rival bring problem seem clear many another name give impression competitive market market absolutely ripe reasonably price competitor system work
92,nothing advertising portal responsible content website rent house mexico two week look good pic open door place smell like sewage back cheap system every night motorcycle come next door 2 morning dog never stop bark night long road front place look like bomb nightmare try many time reach help reach owner say sorry live another city come week tell ad mislead wrong spent day vacation find another spot move go back owner arbnb say decision stay leave refund nothing keep money please keep mind rent totally ad prove case totally fraudulent
93,scamwhen reach place book 2 night oslo apartament look publish fake host filthy bathroom mud floor explanation due snow outside stay 10 minute leave health definitely threat could easily catch bed bug infectious germ host refuse refund full amount company answer typical copy paste answer problem say policy total scam never ever life use
94,holiday book half term 3 week date receive email state holiday cancel reason give although full refund make time cancellation lock account account access restore repeated request tell holiday cancel account suspend appal customer service look forward break never use
95,care problem matter whether host traveller
96,lose 1000 leave due unacceptable condition another time get health symptom owner decide build paint wooden stair rail fence around house specifically ask book use chemical garden plan spend time outside worker outside lot time also live house separate entrance although website state would rent entire house go back forth two month concern compensation tell blue contact late incident occur thus anything contact late accord policy even happen correspond two month initial contact go explain thing drag time drop complaint second time lose 1000 tell picture prove right house refund send picture confirm construction painting trip make difference wonder sometimes people keep pay hard earn money company would basically gaslight unfair towards take money poor non exist service even health issue due use service
